"Question","Answer"
"Andere Bezeichnung für Objekt","Instanz"
"Funktion innerhalb einer Klasse","Methode"
"Datenstruktur, die Elemente sequentiell speichert","Array"
"Schlüsselwort, um Methode als Klassenmethode zu kennzeichnen","static"
"Mit diesem Operator erzeugt man ein Objekt","new"
"Dieser Datentyp repräsentiert eine ganze Zahl","integer"
"Dieser Datentyp repräsentiert eine Zeichenfolge","string"
"Diese besondere Methode initialisiert ein neues Objekt","Konstruktor"
"Speichert einen Wert für ein Objekt","Instanzvariable"
"Speichert einen Wert für die gesamte Klasse","Klassenvariable"
"Dieses Schlüsselwort kennzeichnet eine unveränderliche Variable","final"
"Speichert einen Verweis auf ein Objekt","Referenz"
"Eine Kontrollstruktur zur Wiederholung von Anweisungen","Schleife"
"Eine Kontrollstruktur, die Anweisungen nacheinander ausführt","Sequenz"
"Bezeichnet die Fähigkeit einer Variablen, unterschiedliche Formen anzunehmen","polymorph"
"Felder und Methoden sind ... einer Klasse","Member"
"So bezeichnet man eine Methode, die sich selbst aufruft.","rekursiv"
"So bezeichnet man eine Denkweise, eine Herangehensweise bzw. einen Ansatz","Paradigma"
"Eine semantische Beziehung zwischen 2 Klassen","Assoziation"
"Eine Beziehung zwischen Klassen bei der die eine Klasse ein Teil der anderen darstellt","Aggregation"
"Eine Beziehung zwischen Klassen, bei der das ""Teil" existenziell abhängig vom "Ganzen" ist.","Komposition"
"Eine zweiten Parametersatz für eine bereits existierende Methode definieren","überladen"
"Eine Methode aus einer Oberklasse ergänzen oder vollständig ersetzen","überschreiben"
"Ein Programm zum Übersetzen des Quelltextes","Compiler"
"Ein Programm zum Ausführen eines anderen Programms","Runtime"
